Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Technique
Iron Man: Armored Adventures,NaN,52,"Canada, France, United States",2009,2012,Nicktoons,CGI
Family Dog,1,10,"US, Canada",1993,1993,CBS,Traditional
Regular Show,8,261,United States,2010,2017,Cartoon Network,Traditional
Descendants: Wicked World,2,33,United States,2015,2017,Disney Channel,CGI
Roboroach,2,52,Canada ,2002,2003,Teletoon,Traditional
Duncanville,3,33,United States,2020,Present,Fox,Traditional
Wow! Wow! Wubbzy!,2,52,United States,2006,Present,"Nick Jr., Discovery Kids",Flash
C.L.Y.D.E.,1,26,Canada ,1990,1991,Global,Traditional
JoJo & Gran Gran,1,10,Britain,2020,Present,Cbeebies,Flash
Oggy and the Cockroaches: Next Generation,1,13,France,2022,Present,Netflix,Flash